# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from ELVIS:
# Omega_m = 0.266, Omega_l = 0.734, Omega_b = 0.0449,
# h = 0.71, sigma_8 = 0.801, n_s = 0.963
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
 85 0.195238099  4.121951103  1.530479985 12.196700551  18.5030
 86 0.196825400  4.080645084  1.549053840 12.178126696  18.5739
 87 0.198412701  4.039999962  1.567698094 12.159482442  18.6443
 88 0.200000003  4.000000000  1.586412335 12.140768201  18.7142
 89 0.201562494  3.961240292  1.604902022 12.122278514  18.4897
 90 0.203125000  3.923077106  1.623458922 12.103721614  18.5569
 91 0.204687506  3.885496140  1.642082475 12.085098060  18.6236
 92 0.206249997  3.848484993  1.660772121 12.066408415  18.6896
 93 0.207812503  3.812029839  1.679527836 12.047652700  18.7557
 94 0.209374994  3.776119709  1.698348884 12.028831652  18.8210
