# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from agora:
# Omega_m = 0.272, Omega_l = 0.728, Omega_b = 0.0455, 
# h = 0.702, sigma_8 = 0.807, n_s = 0.961
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
150 0.298076898  2.354839087  2.864335313 10.934411571  22.5552
151 0.299679488  2.336898327  2.886940438 10.911806445  22.6051
152 0.301282108  2.319148302  2.909594296 10.889152588  22.6539
153 0.302884609  2.301587343  2.932294437 10.866452446  22.7001
154 0.304487199  2.284210205  2.955043480 10.843703404  22.7490
155 0.306089699  2.267016172  2.977838549 10.820908335  22.7951
156 0.307692289  2.250000238  3.000681852 10.798065031  22.8433
157 0.309294909  2.233160257  3.023572210 10.775174674  22.8904
158 0.310897410  2.216495037  3.046507155 10.752239729  22.9349
159 0.312500000  2.200000048  3.069489337 10.729257546  22.9822
160 0.314102590  2.183673143  3.092517145 10.706229738  23.0278
161 0.315705091  2.167513132  3.115588957 10.683157927  23.0718
162 0.317307711  2.151515007  3.138707444 10.660039440  23.1185
163 0.318910301  2.135678053  3.161870128 10.636876755  23.1627
164 0.320512801  2.120000124  3.185075812 10.613671071  23.2057
165 0.322115391  2.104477644  3.208326753 10.590420130  23.2509
166 0.323717892  2.089109421  3.231620026 10.567126857  23.2933
167 0.325320512  2.073891640  3.254958335 10.543788549  23.3383
168 0.326923102  2.058823347  3.278339182 10.520407701  23.3808
169 0.328525603  2.043902874  3.301761365 10.496985519  23.4222
170 0.330128193  2.029126406  3.325227167 10.473519717  23.4658
171 0.331730813  2.014492273  3.348735392 10.450011492  23.5082
172 0.333333313  2.000000238  3.372283523 10.426463361  23.5481
173 0.334920585  1.985782385  3.395648608 10.403098275  23.3651
174 0.336507887  1.971698523  3.419054360 10.379692524  23.4058
175 0.338095188  1.957746983  3.442500021 10.356246863  23.4457
176 0.339682490  1.943925619  3.465985274 10.332761609  23.4853
177 0.341269791  1.930233002  3.489509804 10.309237080  23.5245
178 0.342857093  1.916666985  3.513073293 10.285673591  23.5635
179 0.344444394  1.903226137  3.536675426 10.262071457  23.6021
180 0.346031696  1.889908791  3.560315889 10.238430995  23.6405
181 0.347618997  1.876712799  3.583994366 10.214752518  23.6785
182 0.349206299  1.863636732  3.607710542 10.191036342  23.7162
183 0.350793689  1.850678444  3.631465443 10.167281441  23.7549
184 0.352380991  1.837837458  3.655256079 10.143490804  23.7906
185 0.353968292  1.825111866  3.679083474 10.119663409  23.8274
186 0.355555594  1.812499762  3.702947316 10.095799567  23.8638
187 0.357142895  1.799999714  3.726847293 10.071899591  23.9000
188 0.358730197  1.787610292  3.750783092 10.047963792  23.9358
189 0.360317498  1.775330067  3.774754402 10.023992481  23.9713
190 0.361904800  1.763157606  3.798760913  9.999985971  24.0065
191 0.363492101  1.751091480  3.822802314  9.975944569  24.0414
192 0.365079403  1.739130259  3.846878295  9.951868588  24.0760
193 0.366666704  1.727272511  3.870988548  9.927758336  24.1103
194 0.368254006  1.715517044  3.895132762  9.903614122  24.1442
195 0.369841307  1.703862429  3.919310629  9.879436254  24.1779
196 0.371428609  1.692307472  3.943521842  9.855225041  24.2112
197 0.373015910  1.680850744  3.967766093  9.830980791  24.2443
198 0.374603212  1.669491291  3.992043074  9.806703809  24.2770
199 0.376190513  1.658227682  4.016352480  9.782394403  24.3094
200 0.377777815  1.647058487  4.040694004  9.758052880  24.3415
201 0.379365087  1.635983229  4.065066882  9.733680002  24.3729
202 0.380952388  1.625000000  4.089471725  9.709275159  24.4048
203 0.382539690  1.614107847  4.113907770  9.684839113  24.4360
204 0.384126991  1.603305817  4.138374714  9.660372169  24.4669
205 0.385714293  1.592592478  4.162872254  9.635874630  24.4975
206 0.387301594  1.581967115  4.187400085  9.611346799  24.5278
207 0.388888896  1.571428537  4.211957905  9.586788978  24.5578
208 0.390476197  1.560975552  4.236545413  9.562201471  24.5875
209 0.392063498  1.550607204  4.261162307  9.537584577  24.6169
210 0.393650800  1.540322542  4.285808285  9.512938599  24.6460
211 0.395238101  1.530120373  4.310483048  9.488263836  24.6748
212 0.396825403  1.519999981  4.335186295  9.463560588  24.7032
