# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from planck2015:
# Omega_m = 0.31, Omega_l = 0.69, Omega_b = 0.048,
# h = 0.68, sigma_8 = 0.82, n_s = 0.97
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
107 0.229687497  3.353741646  1.886854360 11.849361663  19.0538
108 0.231250003  3.324324131  1.905968146 11.830247877  19.1138
109 0.232812494  3.295301914  1.925141225 11.811074797  19.1731
110 0.234375000  3.266666889  1.944373646 11.791842376  19.2324
111 0.235937506  3.238410473  1.963664907 11.772551115  19.2913
112 0.237499997  3.210526466  1.983014508 11.753201514  19.3496
113 0.239062503  3.183006287  2.002422503 11.733793519  19.4080
114 0.240624994  3.155844212  2.021888208 11.714327815  19.4657
115 0.242187500  3.129032135  2.041411682 11.694804341  19.5235
116 0.243750006  3.102563858  2.060992428 11.675223594  19.5807
117 0.245312497  3.076433182  2.080629949 11.655586073  19.6375
118 0.246875003  3.050632954  2.100324311 11.635891711  19.6944
119 0.248437494  3.025157452  2.120074830 11.616141192  19.7505
120 0.250000000  3.000000000  2.139881577 11.596334445  19.8067
121 0.251602590  2.974521875  2.160254336 11.575961686  20.3728
122 0.253205091  2.949367762  2.180684255 11.555531768  20.4299
123 0.254807711  2.924528122  2.201173667 11.535042355  20.4894
124 0.256410301  2.899999380  2.221720348 11.514495674  20.5467
125 0.258012801  2.875776768  2.242323200 11.493892822  20.6029
126 0.259615391  2.851851702  2.262984200 11.473231823  20.6610
127 0.261217892  2.828221798  2.283700717 11.452515305  20.7165
128 0.262820512  2.804877996  2.304475129 11.431740893  20.7744
129 0.264423102  2.781817913  2.325305188 11.410910834  20.8301
130 0.266025603  2.759036779  2.346189793 11.390026230  20.8846
131 0.267628193  2.736527205  2.367130954 11.369085068  20.9412
132 0.269230813  2.714285135  2.388127581 11.348088442  20.9966
133 0.270833313  2.692307949  2.409177399 11.327038623  21.0498
134 0.272435904  2.670588255  2.430282830 11.305933192  21.1054
135 0.274038494  2.649122477  2.451442387 11.284773636  21.1596
136 0.275640994  2.627907276  2.472654568 11.263561455  21.2122
137 0.277243614  2.606936216  2.493921822 11.242294200  21.2673
138 0.278846204  2.586206198  2.515241864 11.220974158  21.3200
139 0.280448705  2.565714359  2.536613582 11.199602440  21.3717
140 0.282051295  2.545454264  2.558039048 11.178176974  21.4255
141 0.283653796  2.525424242  2.579515561 11.156700461  21.4765
142 0.285256386  2.505618334  2.601045208 11.135170815  21.5296
143 0.286859006  2.486033201  2.622626882 11.113589141  21.5817
144 0.288461506  2.466666937  2.644258264 11.091957758  21.6314
